id_municipio,id_estacao,estacao,data_fundacao,geolocalizacao,altitude
2307007,A339,JAGUARUANA,2007-11-10,POINT(-4.83777777 -37.69972221),12
3132107,A539,MOCAMBINHO,2007-11-11,POINT(-15.08583333 -44.01611111),454
3535101,A736,ARIRANHA,2007-11-13,POINT(-21.13305554 -48.84055555),525.44
3124302,A543,ESPINOSA,2007-11-14,POINT(-14.91222222 -42.80861111),565.36
2401008,A340,APODI,2007-11-14,POINT(-5.62666666 -37.815),131.41
3155603,A551,RIO PARDO DE MINAS,2007-11-17,POINT(-15.72305554 -42.43583333),850.06
2200459,A336,ALVORADA DO GURGUEIA,2007-11-17,POINT(-8.37638888 -43.85944444),225
2613107,A341,CARUARU,2007-11-21,POINT(-8.35611111 -36.02833332),837
5218102,A026,MINEIROS,2007-11-24,POINT(-17.45472222 -52.60111111),862
2102804,A205,CAROLINA,2007-12-04,POINT(-7.33722221 -47.45972222),182.88
4321329,A854,FREDERICO WESTPHALEN,2007-12-14,POINT(-27.39555555 -53.42944443),489.42
5206206,A036,CRISTALINA,2007-12-14,POINT(-16.78499999 -47.61305555),1211.08
5107750,A936,SALTO DO CEU,2008-01-24,POINT(-15.12472221 -58.12722221),300.83
5104203,A932,GUIRATINGA,2008-01-24,POINT(-16.34166666 -53.76611111),525.43
5100607,A934,ALTO TAQUARI,2008-01-29,POINT(-17.8411111 -53.28944444),862.42
5106752,A937,PONTES E LACERDA,2008-01-30,POINT(-15.32527777 -59.2336111),272.53
5215504,A034,CATALAO,2008-01-31,POINT(-18.15472222 -47.92749999),900.72
1505650,A211,PLACAS,2008-02-14,POINT(-3.86416666 -54.21638888),100.45
4108304,A846,FOZ DO IGUACU,2008-02-15,POINT(-25.60194444 -54.48305554),235.09
1501006,A231,ITAITUBA,2008-02-17,POINT(-4.27694443 -55.99305555),24.46
1501725,A209,MEDICILANDIA,2008-02-17,POINT(-3.51083333 -52.96333333),251.68
4313706,A856,PALMEIRA DAS MISSOES,2008-02-26,POINT(-27.92027777 -53.31805554),614.11
2210607,A345,SAO RAIMUNDO NONATO,2008-02-27,POINT(-9.03305554 -42.70111111),385
2104057,A224,ESTREITO,2008-02-27,POINT(-6.65333333 -47.41833332),182.96
1505486,A210,PACAJA,2008-02-27,POINT(-3.8436111 -50.63805555),89.02
2503100,A348,CABACEIRAS,2008-02-28,POINT(-7.48333333 -36.28638888),391.96
4204806,A860,CURITIBANOS,2008-02-28,POINT(-27.2886111 -50.60416666),978.1
4112306,A871,JAPIRA,2008-02-29,POINT(-23.77333332 -50.18055554),692.88
5101902,A927,BRASNORTE (NOVO MUNDO),2008-02-29,POINT(-12.52194443 -58.23138888),426.2
4320800,A837,SOLEDADE,2008-03-01,POINT(-28.85916666 -52.54249999),660.44
2103752,A225,IMPERATRIZ,2008-03-01,POINT(-5.55583333 -47.45972222),117.96
1508100,A229,TUCURUI,2008-03-01,POINT(-3.82277777 -49.67499999),137.94
4201802,A863,ITUPORANGA,2008-03-04,POINT(-27.41833332 -49.64694444),479.79
4118303,A850,PARANAPOEMA,2008-03-04,POINT(-22.65833333 -52.13444444),308.7
4107108,A849,DIAMANTE DO NORTE,2008-03-06,POINT(-22.63944444 -52.89027777),368.22
2101608,A221,BARRA DO CORDA,2008-03-06,POINT(-5.50666666 -45.23694444),154.19
2200806,A346,URUCUI,2008-03-06,POINT(-7.44138888 -44.34499999),398.83
2311959,A347,CAMPOS SALES,2008-03-07,POINT(-7.07777777 -40.36277777),577.95
4305439,A899,SANTA VITORIA DO PALMAR - BARRA DO CHUI,2008-03-08,POINT(-33.74222221 -53.37222221),7.41
5002902,A742,CASSILANDIA,2008-03-08,POINT(-19.12249999 -51.72083332),494.72
2614501,A328,SURUBIM,2008-03-09,POINT(-7.84249999 -35.79027777),421.44
4310330,A834,TRAMANDAI,2008-03-09,POINT(-30.01027777 -50.13583333),4.56
4214508,A861,RIO DO CAMPO,2008-03-10,POINT(-26.93749999 -50.14555555),591.67
4321352,A878,TAVARES - FAROL DE MOSTARDAS,2008-03-11,POINT(-31.24833333 -50.90638888),3.82
1501709,A226,BRAGANCA,2008-03-11,POINT(-1.05583333 -46.78277777),5.6
4105607,A869,CIDADE GAUCHA,2008-03-11,POINT(-23.35916666 -52.93194443),365.79
4217204,A857,SAO MIGUEL DO OESTE,2008-03-12,POINT(-26.78638888 -53.51416666),647
